"dev_os","OS Version","temp","title","timestamp","comp_bar","Roll","pos_tech","pos_acc","Make and Model","press","Pitch","editor","Azimuth","cam_vert","cam_hoz","pos_sat","id","Name","What is your name?","Have you seen a butterfly?","If you can, take a photo of the butterfly you have seen.","How many of this butterfly did you see?","Can you see any of these plants within 5 metres (a large room) around you? Tick all that you see.","What did the grasses look like?","Would you like to record more information that would be useful for scientists?","Any other comments?","What was the main colour of the butterfly?","Was it one of these?","What was the butterfly doing?","How would you describe the habitat/area around the butterfly/you? (football pitch area around you)","What kind of urban?","Are you next to a hedgerow?","What type of woodland?","What type of grassland?","What type of farmland?","Was it this butterfly?","geom"
"","5.1.1","","Penparcau Survey 2016 - V1-3","2016-07-08T13:46:31.268Z","","0.6097007849643021","","-1","SAMSUNG SM-G800F","","-43.09919375717038","a0ea0520-3574-4371-b9a3-6af8c208632a.json","68.67462878351344","","","","_4wqulutft","Penparcau Survey 2016 - V1-3-08-07-2016 14h46m02s","Snoopy","Yes","<br/><a href="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-08-07-2016 14h46m02s/modified_1467985491632.jpg"><img src="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-08-07-2016 14h46m02s/modified_1467985491632_thumb.jpg" style="width:100px;border:0;"></a>","1","Nettle,Ivy,Holly,Dock or sorrel,Grasses",,"Yes","","Brown","Speckled Wood","Resting","Woodland",,"No","Lots of wild flowers, shrubs and plants",,,,"-4.07406425327391,52.40579808294997"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-30T15:42:27.689Z","","9.362815630290664","","-1","MOTOROLA XT1068","","-16.254914488714057","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-164.16335081444635","","","","_1x58xypz3","Penparcau Survey 2016 - V1-3-30-06-2016 16h42m19s","CG test","No","<i>blank</i>","","Ivy,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.0654862756396675,52.40413136860642"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-20T14:00:48.430Z","","3.414835037817915","","-1","MOTOROLA XT1068","","-11.71977133266314","a0ea0520-3574-4371-b9a3-6af8c208632a.json","67.18254663856749","","","","_2bys1fplh","Penparcau Survey 2016 - V1-3-20-07-2016 15h00m36s","CG","No","<i>blank</i>","","Bird's foot trefoil,Grasses",,"No","",,,,,,,,,,,"-4.072252293527934,52.40512036014203"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-23T11:08:15.865Z","","15.673627824305536","","8","MOTOROLA XT1068","","12.816695444498956","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-164.62362360223517","","","","_m4fbyq4ej","Penparcau Survey 2016 - V1-3-23-06-2016 12h08m03s","Rachel","Yes","<i>blank</i>","1","Nettle,Grasses",,"Yes","","Brown","Speckled Wood","Flying","Woodland",,"Yes","Lots of wild flowers, shrubs and plants",,,,"-4.079942999999968,52.3990859000002"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-13T12:21:39.408Z","","9.752424988473823","","13","MOTOROLA XT1068","","-23.95926029700901","a0ea0520-3574-4371-b9a3-6af8c208632a.json","162.60367711747395","","","","_8z4p2emwc","Penparcau Survey 2016 - V1-3-13-06-2016 13h21m32s","Chloe","No","<i>blank</i>","","Nettle,Ivy,Dock or sorrel,Grasses",,"Yes","",,,,"Urban","Parks, playgrounds, allotments or community grasslands","No",,,,,"-4.066492200000042,52.40364379999973"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-23T10:16:49.367Z","","6.020655939675799","","-1","MOTOROLA XT1068","","-14.171288442773504","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-142.69816995136063","","","","_cs3hv89rz","Penparcau Survey 2016 - V1-3-23-06-2016 11h15m16s","Rachel","Yes","<i>blank</i>","1","Bird's foot trefoil,Grasses",,"Yes","","Brown","Speckled Wood","Flying","Gorse",,"No",,,,,"-4.081691099259729,52.400032490768176"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T12:31:37.152Z","","5.8381746293942145","","13","MOTOROLA XT1068","","-7.876195075359769","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-27.302195640981495","","","","_wo6dvhdk3","Penparcau Survey 2016 - V1-3-19-07-2016 13h31m31s","CG","No","<i>blank</i>","","Nettle,Thistle,Grasses",,"No","",,,,,,,,,,,"-4.08429600000003,52.40023959999997"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-16T11:09:21.622Z","","-7.51214343127715","","-1","MOTOROLA XT1068","","-23.44198104285997","a0ea0520-3574-4371-b9a3-6af8c208632a.json","106.85268831916257","","","","_6s8lrjgdf","Penparcau Survey 2016 - V1-3-16-06-2016 12h08m33s","Aline","Yes","<i>blank</i>","1","Nettle,Dock or sorrel,Grasses",,"No","","Orange","Painted Lady","Flying",,,,,,,,"-4.07946864336753,52.4061492314753"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T12:05:06.924Z","","3.874673254820792","","96","MOTOROLA XT1068","","-4.658546318219653","a0ea0520-3574-4371-b9a3-6af8c208632a.json","31.999395280374717","","","","_9voc310kg","Penparcau Survey 2016 - V1-3-19-07-2016 13h05m00s","CG","No","<i>blank</i>","","Nettle,Bird's foot trefoil,Thistle,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.083407799999987,52.39932369999985"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-06T14:15:09.889Z","","13.369338003075734","","10","MOTOROLA XT1068","","-18.005561982427317","a0ea0520-3574-4371-b9a3-6af8c208632a.json","72.67719476922179","","","","_4ejs5wprb","Penparcau Survey 2016 - V1-3-06-06-2016 15h14m55s","Chloe","Yes","<br/><a href="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-06-06-2016 15h14m55s/modified_1465222437309.jpg"><img src="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-06-06-2016 15h14m55s/modified_1465222437309_thumb.jpg" style="width:100px;border:0;"></a>","1","Bird's foot trefoil,Lady's smock,Thistle,Grasses",,"Yes",,,,"Feeding,Flying","Grassland",,"Yes",,"Overgrown, lots of wild flowers, meadow",,,"-4.067274800000018,52.40337690000018"
