"dev_os","temp","title","cam_vert","timestamp","id","comp_bar","pos_sat","pos_tech","pos_acc","Make and Model","cam_hoz","Azimuth","editor","Pitch","press","OS Version","Roll","Name","Tree type","Tree Species","Take photo","Grid reference","Other Known","geom"
"","","OBT Tree Survey","","2015-06-03T12:18:52.898Z","_6lnjowsmv","","","","-1","MOTOROLA XT1068","","-46.59572127255624","35cf4469-162e-4f6d-8eae-ed886121088d.json","-80.06862741352366","","5.0.2","-9.352980157885844","Hahn (44)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (44)/1433333925699.jpg'>","XXXX",,"-3.8522058000000143,52.62100580000011"
"","","OBT Tree Survey","","2015-06-03T12:50:16.735Z","_pevzfm0z1","","","","-1","MOTOROLA XT1068","","21.819327879098164","35cf4469-162e-4f6d-8eae-ed886121088d.json","-53.68129804582494","","5.0.2","18.725788354932234","Hahn (41)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (41)/1433335809984.jpg'>","",,"-3.851804700000037,52.62123270000012"
"","","OBT Tree Survey","","2015-05-30T09:44:38.483Z","_ba90dwi2l","","","","-1","MOTOROLA XT1068","","3.5446152487939155","35cf4469-162e-4f6d-8eae-ed886121088d.json","-36.12281121816268","","5.0.2","19.56985971746783","obt (21)","Coniferous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (21)/1432979035770.jpg'>","Xxxxxx",,"-2.421976,53.82556399999999"
"","","OBT Tree Survey","","2015-06-03T13:02:07.295Z","_k4r8xbe1v","","","","-1","MOTOROLA XT1068","","152.91174796825257","35cf4469-162e-4f6d-8eae-ed886121088d.json","-36.91213519940604","","5.0.2","3.366460649908123","hahn (10)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (10)/1433336518108.jpg'>","Xxxx",,"-3.853213199999961,52.62111339999999"
"","","OBT Tree Survey","","2015-06-13T14:07:10.771Z","_8ttxd12mn","","","","-1","MOTOROLA XT1068","","179.76314770891864","35cf4469-162e-4f6d-8eae-ed886121088d.json","-51.06493944273819","","5.0.2","-9.250340343907125","Scott (2)",,"Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Scott (2)/1434204384304.jpg'>","",,"-2.421976,53.82556399999999"
"","","OBT Tree Survey","","2015-05-21T16:39:39.614Z","_yzzohlrez","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"bbbbb","Deciduous","Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/bbbbb/1432226347283.jpg'>","33333",,"-4.0236206,52.547625399999994"
"","","OBT Tree Survey","","2015-06-03T12:23:06.925Z","_iwgivxevb","","","","-1","MOTOROLA XT1068","","-1.5802770693254609","35cf4469-162e-4f6d-8eae-ed886121088d.json","-48.45060940583494","","5.0.2","1.5435246751752685","hahn (24)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (24)/1433334148543.jpg'>","xxxx",,"-3.8520568999999583,52.62058489999994"
"","","OBT Tree Survey","","2015-06-17T19:20:53.147Z","_z5n7u46nh","","","","-1","MOTOROLA XT1068","","-177.52430732163683","35cf4469-162e-4f6d-8eae-ed886121088d.json","-85.64521732365061","","5.0.2","-90.00000250447816","Andy (53)","Deciduous",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (53)/1434568848590.jpg'>","",,"-4.015459099999991,52.50604730000023"
"","","OBT Tree Survey","","2015-09-11T13:51:06.291Z","_uctiwnhs1","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"iol (1)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/iol (1)/1441979450041.jpg'>","Placeholder","Type species name in here","-2.9704159000000003,54.4071309"
"","","OBT Tree Survey","","2015-07-08T20:37:16.644Z","_ekfumb6ff","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"st Chris bonnington (5)","Deciduous","Sycamore","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Chris bonnington (5)/1436387808768.jpg'>","Placeholder","Type species name in here","-2.4219759999999915,53.8255639999998"
