dev_os;temp;title;cam_vert;timestamp;id;comp_bar;pos_sat;pos_tech;pos_acc;Make and Model;cam_hoz;Azimuth;editor;Pitch;press;OS Version;Roll;Name;Tree type;Tree Species;Take photo;Grid reference;Other Known;geom
;;OBT Tree Survey;;2015-06-19T11:54:14.015Z;_izccpaon6;;;;-1;MOTOROLA XT1068;;14.888.749.613.192.900;35cf4469-162e-4f6d-8eae-ed886121088d.json;-7.276.472.022.834.090;;5.0.2;-0.9004489178836396;obt (46);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (46)/1434714818813.jpg'>;Xxxxxxr;Type species name in here;-4.0229477,52.5478245
;;OBT Tree Survey;;2015-06-19T12:02:50.640Z;_7a231yyrt;;;;-1;MOTOROLA XT1068;;1.354.902.030.183.540;35cf4469-162e-4f6d-8eae-ed886121088d.json;-26.161.922.879.804.500;;5.0.2;1.911.653.323.206.490;obt (45);Deciduous;Douglas fir;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (45)/1434715348828.jpg'>;Xxxxx;Type species name in here;-4.0227738,52.54829479999997
;;OBT Tree Survey;;2015-06-19T12:04:25.543Z;_hlcs0xv4e;;;;-1;MOTOROLA XT1068;;-13.550.091.275.497.300;35cf4469-162e-4f6d-8eae-ed886121088d.json;-14.361.895.116.846.400;;5.0.2;8.362.471.247.092.470;obt (48);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (48)/1434715431535.jpg'>;Xxxx;Type species name in here;-4.0227738,52.54829479999997
;;OBT Tree Survey;;2015-06-19T12:08:50.774Z;_ar4m2r9jl;;;;-1;MOTOROLA XT1068;;-12.776.887.906.733.000;35cf4469-162e-4f6d-8eae-ed886121088d.json;-2.169.320.843.607.380;;5.0.2;-0.498211607142184;obt (44);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (44)/1434715717419.jpg'>;Xxxxxx;Type species name in here;-4.0227848999999924,52.54825140000025
;;OBT Tree Survey;;2015-06-19T12:12:30.622Z;_gwi4kpbh5;;;;-1;MOTOROLA XT1068;;12.505.726.664.607.800;35cf4469-162e-4f6d-8eae-ed886121088d.json;-2.811.575.313.340.000;;5.0.2;-0.8892200868881387;OB staff;Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/OB staff/1434714934849.jpg'>;;;-4.0227353999999655,52.54837810000006
;;OBT Tree Survey;;2015-06-22T20:38:25.831Z;_eb7hour23;;;;-1;MOTOROLA XT1068;;0.9023835689660458;35cf4469-162e-4f6d-8eae-ed886121088d.json;-51.303.623.818.378.800;;5.0.2;0;obt (51);Coniferous;Larch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (51)/1435005498494.jpg'>;Placeholder;Type species name in here;-4.0354032,52.546697599999995
;;OBT Tree Survey;;2015-06-22T20:42:33.149Z;_ccjcelv1k;;;;-1;MOTOROLA XT1068;;3.315.527.843.889.970;35cf4469-162e-4f6d-8eae-ed886121088d.json;-5.643.337.250.771.980;;5.0.2;42.998.623.490.510.100;obt (52);Coniferous;Larch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (52)/1435005745855.jpg'>;Placeholder;Type species name in here;-4.035423,52.54669100000001
;;OBT Tree Survey;;2015-06-23T12:48:50.726Z;_ym0fm4rfn;;;;-1;MOTOROLA XT1068;;-991.818.736.170.505;35cf4469-162e-4f6d-8eae-ed886121088d.json;-3.033.981.640.641.250;;5.0.2;1.539.191.667.198.830;glen (1);Deciduous;Other;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/glen (1)/1435062631067.jpg'>;Placeholder 624 014;Hawthorne;-4.03296610000004,52.59399460000008
;;OBT Tree Survey;;2015-06-23T13:25:26.934Z;_xutzq1dxs;;;;-1;MOTOROLA XT1068;;3.449.589.089.371.690;35cf4469-162e-4f6d-8eae-ed886121088d.json;-16.587.563.484.313.800;;5.0.2;12.724.355.555.788.600;glen;Deciduous;Dont know;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/glen/1435065700717.jpg'>;632 010;Type species name in here;-4.02226,52.589357500000006
;;OBT Tree Survey;;2015-06-24T10:32:45.097Z;_57ow9acjb;;;;-1;MOTOROLA XT1068;;-950.527.032.448.868;35cf4469-162e-4f6d-8eae-ed886121088d.json;-4.223.909.194.065.270;;5.0.2;0.9290393426973725;ibt (1);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/ibt (1)/1435141933402.jpg'>;Placeholder;Type species name in here;-3.7883758000000003,52.69060209999999
